id,name,message,at
1,pepper <a>Creator</a> ,That was <I>so</I> funny!,10:08am
2,pepper <a>Creator</a> ,Bruh,10:09am
3,pepper <a>Creator</a> ,Haha,10:10am
4,Announcement,pepper <a>Creator</a>  needs to go.,10:12am
5,"Cq <b style=""color:green"">Mod</b>",Hello,01:47pm
6,pepper <a>Creator</a> ,Hi,10:55am
7,"Cq <b style=""color:green"">Mod</b>",I'm so tired,01:56pm
8,pepper <a>Creator</a> ,From Boston?,10:56am
9,"Cq <b style=""color:green"">Mod</b>","Yeah, got back yesterday",01:56pm
10,pepper <a>Creator</a> ,"Yeah, I will also feel the same way 🥱 ",10:57am
11,"Cq <b style=""color:green"">Mod</b>",:( I'm having flashbacks again,01:57pm
12,pepper <a>Creator</a> ,“I wish I was there…”,10:57am
13,"Cq <b style=""color:green"">Mod</b>","During the end of the trip, I was having flashbacks about this kid who legit broke my heart",01:58pm
14,pepper <a>Creator</a> ,What did he do?,10:59am
15,pepper <a>Creator</a> ,Did he abuse you? (I hope not),10:59am
16,"Cq <b style=""color:green"">Mod</b>",*me trying to get a marker for a project*,01:59pm
17,pepper <a>Creator</a> ,Ok,10:59am
18,"Cq <b style=""color:green"">Mod</b>",Me: hey can I have this marker?,01:59pm
19,"Cq <b style=""color:green"">Mod</b>",Him: sure.,02:00pm
20,"Cq <b style=""color:green"">Mod</b>","Me: *grabs marker* You know, I did try to be friends with you",02:00pm
21,"Cq <b style=""color:green"">Mod</b>","Him: Sure, yet I'm still better friends with Ellis than you despite me having no classes with him and having 4 classes with you",02:00pm
22,pepper <a>Creator</a> ,…,11:01am
23,"Cq <b style=""color:green"">Mod</b>",Me: *walks away*,02:01pm
24,"Cq <b style=""color:green"">Mod</b>",Him: WAIT! SORRY! I DIDN'T MEAN THAT!,02:01pm
25,"Cq <b style=""color:green"">Mod</b>",Friend at my table: shoot what did he do,02:01pm
26,"Cq <b style=""color:green"">Mod</b>",Me: *throws marker at him*,02:01pm
27,"Cq <b style=""color:green"">Mod</b>",LIKE BRUHHHHH,02:02pm
28,pepper <a>Creator</a> ,Bruh. He should watch his mouth.,11:02am
29,"Cq <b style=""color:green"">Mod</b>","Our ""friendship"" is so tragic",02:02pm
30,"Cq <b style=""color:green"">Mod</b>","At the beginning of the school year, I got into crutches",02:03pm
31,"Cq <b style=""color:green"">Mod</b>",He decides to help me out. He goes to all the clubs I go to just to help,02:03pm
32,"Cq <b style=""color:green"">Mod</b>",He and I talk about coding. He ends up late to every class because he races over from his class to mine just to help,02:04pm
33,pepper <a>Creator</a> ,Ok,11:04am
